Value,Description
BR00,WILLOW BROWNFIELD GENERAL
BT10,BT1 MULTI MOD
BT1A,BT1 GENERAL
BT1A-IW1,BT1 INJECTOR WELL (TYP. 40)
BT1A-PW1,BT1 PRODUCER WELL (TYP. 40)
BT1C,BT1C DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-01,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-02,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-03,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-04,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-05,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-06,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-07,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-08,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-09,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-10,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-11,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-12,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-13,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-14,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-15,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-16,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-17,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-18,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-19,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1C-20,BT1 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT1H,BT1 TELECOM TOWER
BT1I,BT1 INTERCONNECTS
BT1M,BT1 DRILLSITE MODULE
BT1M-ST1,BT1 MANIFOLD MODULE - 1 STAIRTOWER 1
BT1M-ST2,BT1 MANIFOLD MODULE - 1 STAIRTOWER 2
BT1P,BT1 PIPERACKS
BT1P-01,BT1 PIPERACK MODULE 01
BT1P-02,BT1 PIPERACK MODULE 02
BT1P-03,BT1 PIPERACK MODULE 03
BT1P-04,BT1 PIPERACK MODULE 04
BT1P-05,BT1 PIPERACK MODULE 05
BT1P-06,BT1 PIPERACK MODULE 06
BT1P-07,BT1 PIPERACK MODULE 07
BT1P-08,BT1 PIPERACK MODULE 08
BT1S,BT1 WELLHEAD SHELTERS
BT1S-01,BT1 WELLHEAD SHELTERS 01
BT1S-02,BT1 WELLHEAD SHELTERS 02
BT1S-03,BT1 WELLHEAD SHELTERS 03
BT1S-04,BT1 WELLHEAD SHELTERS 04
BT1S-05,BT1 WELLHEAD SHELTERS 05
BT1S-06,BT1 WELLHEAD SHELTERS 06
BT1S-07,BT1 WELLHEAD SHELTERS 07
BT1S-08,BT1 WELLHEAD SHELTERS 08
BT1S-09,BT1 WELLHEAD SHELTERS 09
BT1S-10,BT1 WELLHEAD SHELTERS 10
BT1S-11,BT1 WELLHEAD SHELTERS 11
BT1S-12,BT1 WELLHEAD SHELTERS 12
BT1S-13,BT1 WELLHEAD SHELTERS 13
BT1S-14,BT1 WELLHEAD SHELTERS 14
BT1S-15,BT1 WELLHEAD SHELTERS 15
BT1S-16,BT1 WELLHEAD SHELTERS 16
BT1S-17,BT1 WELLHEAD SHELTERS 17
BT1S-18,BT1 WELLHEAD SHELTERS 18
BT1S-19,BT1 WELLHEAD SHELTERS 19
BT1S-20,BT1 WELLHEAD SHELTERS 20
BT1S-21,BT1 WELLHEAD SHELTERS 21
BT1S-22,BT1 WELLHEAD SHELTERS 22
BT1S-23,BT1 WELLHEAD SHELTERS 23
BT1S-24,BT1 WELLHEAD SHELTERS 24
BT1S-25,BT1 WELLHEAD SHELTERS 25
BT1S-26,BT1 WELLHEAD SHELTERS 26
BT1S-27,BT1 WELLHEAD SHELTERS 27
BT1S-28,BT1 WELLHEAD SHELTERS 28
BT1S-29,BT1 WELLHEAD SHELTERS 29
BT1S-30,BT1 WELLHEAD SHELTERS 30
BT1S-31,BT1 WELLHEAD SHELTERS 31
BT1S-32,BT1 WELLHEAD SHELTERS 32
BT1S-33,BT1 WELLHEAD SHELTERS 33
BT1S-34,BT1 WELLHEAD SHELTERS 34
BT1S-35,BT1 WELLHEAD SHELTERS 35
BT1S-36,BT1 WELLHEAD SHELTERS 36
BT1S-37,BT1 WELLHEAD SHELTERS 37
BT1S-38,BT1 WELLHEAD SHELTERS 38
BT1S-39,BT1 WELLHEAD SHELTERS 39
BT1S-40,BT1 WELLHEAD SHELTERS 40
BT1S-41,BT1 WELLHEAD SHELTERS 41
BT1S-42,BT1 WELLHEAD SHELTERS 42
BT1S-43,BT1 WELLHEAD SHELTERS 43
BT1S-44,BT1 WELLHEAD SHELTERS 44
BT1S-45,BT1 WELLHEAD SHELTERS 45
BT1S-46,BT1 WELLHEAD SHELTERS 46
